,,,,Check this out !!!,,
Coriander,Lavender,TRUE,,,,
Corn,Lavender,TRUE,,,,
Cucumber,Lavender,TRUE,,,,
Dill,Lavender,TRUE,,,,
Eggplant,Lavender,TRUE,,,,
Fennel,Lavender,TRUE,,,,
Marigold,Lavender,TRUE,,,,
Fruit Trees,Lavender,TRUE,,,,
Garlic,Lavender,TRUE,,,,
Gooseberry,Lavender,TRUE,,,,
Grape Vine,Lavender,TRUE,,,,
Grass,Lavender,TRUE,,,,
Horseradish,Lavender,TRUE,,,,
Lavender,Lavender,TRUE,,,,
Apple,Leeks,TRUE,,,,
Apricot,Leeks,TRUE,,,,
Asparagus,Leeks,TRUE,,,,
Basil,Leeks,TRUE,,,,
Beans,Leeks,TRUE,,,,
Broad Beans,Leeks,TRUE,,,,
Bush Beans,Leeks,TRUE,,,,
Climbing Beans,Leeks,TRUE,,,,
Beets,Leeks,TRUE,,,,
Borage,Leeks,TRUE,,,,
Broccoli,Leeks,TRUE,,,,
Brussell Sprouts,Leeks,TRUE,,,,
Cabbages,Leeks,TRUE,,,,
Chamomile,Leeks,TRUE,,,,
Carrots,Leeks,TRUE,,,,
Cauliflower,Leeks,TRUE,,,,
Celery,Leeks,TRUE,,,,
Cherry,Leeks,TRUE,,,,
Chervil,Leeks,TRUE,,,,
Chives,Leeks,TRUE,,,,
Coriander,Leeks,TRUE,,,,
Corn,Leeks,TRUE,,,,
Cucumber,Leeks,TRUE,,,,
Dill,Leeks,TRUE,,,,
Eggplant,Leeks,TRUE,,,,
Fennel,Leeks,TRUE,,,,
Marigold,Leeks,TRUE,,,,
Fruit Trees,Leeks,TRUE,,,,
Garlic,Leeks,TRUE,,,,
Gooseberry,Leeks,TRUE,,,,
Grape Vine,Leeks,TRUE,,,,
Grass,Leeks,TRUE,,,,
Horseradish,Leeks,TRUE,,,,
Lavender,Leeks,TRUE,,,,
Leeks,Leeks,TRUE,,,,
Apple,Lemon Balm,TRUE,,,,
Apricot,Lemon Balm,TRUE,,,,
Asparagus,Lemon Balm,TRUE,,,,
Basil,Lemon Balm,TRUE,,,,
Beans,Lemon Balm,TRUE,,,,
Broad Beans,Lemon Balm,TRUE,,,,
Bush Beans,Lemon Balm,TRUE,,,,
Climbing Beans,Lemon Balm,TRUE,,,,
Beets,Lemon Balm,TRUE,,,,
Borage,Lemon Balm,TRUE,,,,
